label,message
spam,Free health checkup offer.
spam,Your SIM won a reward.
spam,Get approved for personal loan instantly.
spam,You have won a surprise gift.
ham,Thank you for the update.
ham,Can you help me with this?
ham,Did you receive my message?
spam,Earn 1000 per day easily.
spam,Click here to confirm your prize.
spam,Free trial offer expires today.
spam,Increase your followers instantly.
ham,Thanks for the invitation.
ham,See you at the office.
ham,The payment has been completed.
ham,Are you at home?
spam,Your number has won a lottery prize.
spam,Congratulations! You won $1000 cash prize!
spam,Your account is selected for a reward.
spam,Double your income in one week.
spam,You have won a mega prize.
spam,Exclusive deal for selected customers.
spam,Fast cash offer apply today.
spam,Exclusive offer buy one get one free click now.
spam,Exclusive deal click now.
spam,You are eligible for a free upgrade.
spam,Free recharge available click to claim.
spam,Get cash back on every purchase.
spam,Exclusive shopping discount available.
ham,Please send the address.
ham,I will be late by 10 minutes.
ham,"Hey, are we meeting today?"
ham,We will discuss this in the meeting.
ham,Please review the attached file.
ham,The car has been serviced.
ham,I have booked the tickets.
ham,Can you send me the details?
ham,Please send me the project file when you get time.
ham,Please complete the form.
spam,Click to receive your bonus.
ham,Are you coming to the party?
ham,Please check your email for details.
ham,I'll text you later tonight.
ham,Thanks for coming.
ham,I will inform you later.
ham,The train is delayed by 20 minutes.
spam,Special discount just for you.
spam,Participate and win exciting gifts.
spam,Free entry win cash now.
spam,Win cash daily register today.
spam,Get free access to premium content.
ham,I'll call you in the morning.
ham,I'm stuck in traffic.
ham,Call me if you need help.
ham,The class starts at 9 am.
ham,Let me check and get back to you.
spam,Special cashback offer today only.
spam,Act now to receive your prize money.
ham,Have you reached the station?
ham,Meeting has been rescheduled to Monday.
ham,Let's finalize the plan.
ham,Happy birthday have a wonderful day!
ham,Good night take care.
spam,Free subscription available now.
spam,Click this link to earn money fast.
spam,Win big money today.
spam,Special scheme for selected users.
ham,I'll call you after dinner.
ham,The event starts at 6 pm sharp.
ham,Let's go for a walk.
ham,I have reached home safely.
ham,The bus has arrived.
ham,Have a safe journey.
ham,Don't worry everything will be fine.
ham,Can you share the notes from today's lecture?
spam,Win big prizes instantly.
spam,Guaranteed income opportunity.
spam,You are selected for a free gift voucher.
spam,Claim your cashback reward.
spam,Limited time free recharge offer.
spam,Claim your reward before it expires.
spam,Get rich quickly join our program.
spam,Your prize claim immediately.
ham,The assignment is submitted.
ham,The exam date has been announced.
ham,Let's have lunch together tomorrow.
spam,Lowest price guaranteed shop now.
ham,Can we reschedule the appointment?
ham,The results are out.
ham,Can you pick up some groceries?
ham,Good morning have a nice day.
ham,Call me urgently.
ham,Did you finish the report?
ham,I'll meet you at the cafe.
ham,Are you free this evening?
ham,Thanks for your help yesterday.
ham,Let's catch up this weekend.
ham,Hey are we still meeting at 5 pm today?
ham,Let me know once you reach.
ham,Please remind me about the meeting.
spam,Limited time offer claim your reward now.
ham,Don't forget to bring the documents.
ham,I'm at the entrance.
ham,Can you call me back when you are free?
ham,The package will arrive tomorrow.
spam,You have received a free coupon.
spam,Limited seats register fast.
spam,Claim your lucky draw prize.
spam,Hot deals available hurry up.
spam,Claim your surprise bonus.
spam,You have a pending bonus check now.
ham,Let me know your availability.
ham,Don't forget the deadline.
ham,Meeting is confirmed.
spam,Lowest EMI offer apply now.
spam,Your prize is waiting click now.
spam,You have been pre approved for a credit card.
spam,Unlock your reward by clicking here.
spam,Congratulations you have won 10000 cash claim now!
spam,Claim your free vacation package now.
ham,The file has been uploaded.
ham,The presentation went well.
ham,I'll update you soon.
ham,Please bring your ID card.
spam,Win 5000 cash today.
ham,The delivery has arrived.
ham,The seminar was informative.
spam,Get instant loan approval without documents.
ham,I'll be there in 15 minutes.
ham,I'll check and confirm.
ham,Thanks for informing me.
ham,Call me once you're done.
ham,Where should we meet?
ham,Let's discuss this tomorrow.
spam,Win smartphone by clicking here.
spam,Win a brand new iPhone today click here.
spam,Click to activate your free benefit.
spam,Free membership register now.
spam,Claim free travel tickets.
spam,Get instant profit join today.
ham,I'll send you the update soon.
ham,Please send the confirmation mail.
ham,Happy anniversary!
spam,Limited period reward offer.
ham,I'll see you tomorrow.
ham,Let's start the meeting.
ham,I have shared the link.
spam,Win assured prizes register today.
spam,Fastest way to earn money online.
spam,Claim your festival bonus now.
spam,Special bonus waiting for you.
spam,Make easy money online today.
spam,Free shopping voucher available.
ham,The weather is nice today.
ham,I'm waiting outside.
ham,I'll join the call in 5 minutes.
ham,I'm on my way.
ham,Please review the attached document.
spam,Click here to unlock rewards.
ham,Please check the schedule.
ham,Call me when you reach office.
spam,Free data recharge offer.
spam,Your loan is approved instantly.
ham,Let's have lunch tomorrow.
ham,Please confirm your attendance.
ham,The system is working fine.
ham,Please reply when you see this.
ham,The meeting link is shared.
ham,Please verify the information.
ham,The office is closed today.
spam,Claim your jackpot prize.
spam,Get unlimited data free today.
ham,I have completed the assignment.
ham,Thanks for your support.
ham,Are you available now?
spam,Instant cash transfer available.
spam,Free gift card for first 100 users.
spam,Claim your lucky reward now.
spam,You have been chosen for a free offer.
spam,Earn fast money today.
ham,Where are you right now?
ham,See you soon.
spam,Exclusive invitation earn big money.
spam,Win exciting rewards daily.
spam,Get bonus reward today.
spam,Limited period mega sale.
spam,Act fast limited seats available.
spam,Win a free iPhone now!!! Click here
ham,The doctor appointment is at 4 pm.
spam,Claim your exclusive reward now.
spam,You won a free smartphone claim immediately.
spam,Urgent! Claim your lottery reward now!
spam,Make money from home easily.
spam,Limited time special offer.
spam,Get your free coupon now.
spam,Win free movie tickets.
spam,Win lottery cash prize.
spam,Join now and earn instantly.
spam,Investment opportunity with guaranteed returns.
spam,Double your investment quickly.
spam,Your account selected for prize.
spam,Lowest insurance rates available apply now.
spam,Free registration earn rewards.
spam,Free entry to lucky draw.
